"ID","Obra","Início","Término","Suporte","Categoria","Réplica?","Fonte","Instituição","País_Instituição","Nº _de_artistas","ID_artista_1","NomeArtista1","PaísNascimentoArtista1","PaísMorteArtista1","ID_artista_2","NomedoArtista2","PaísNascimentoArtista2","PaísMorteArtista2"
335,"Untitled (Scatole Personali)",1952,1952,"Hinged veneered wood box with brass and metal fittings, fabric, engravings, twig, and winged insect","NA","N","https://www.rauschenbergfoundation.org/art/artwork/untitled-scatole-personali-2","Antonio Homem and the Sonnabend Collection Foundation","Portugal",1,11,"Robert Rauschenberg","EUA","EUA",,,,
336,"Untitled (Scatole Personali)",1952,1952,"Lidded wood box with painted interior, painted fabric, painted thorns, and painted snail shells","NA","N","https://www.rauschenbergfoundation.org/art/artwork/untitled-scatole-personali-0","Collection of Jasper Johns","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
337,"Untitled",1952,1952,"Wood washboard with tricycle wheel, squareheaded iron spikes, metal parts, key, copper wire, fabric ribbon, rope, nails, glass shard, seashell, walnut, and feathers","NA","N","https://www.rauschenbergfoundation.org/art/artwork/untitled-27","Menil","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
338,"Untitled (Scatole Personali)",1952,1952,"Wood box, fabrics, papers, engravings, fabric, corrugated paperboard, bird skull, plastic beads, twine, and mollusk shells","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/6757-untitled-scatole-personali","Menil","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
339,"Untitled (Scatole Personali)",1952,1952,"Wood box, paint, printed papers, ribbon, cloth, photograph, paper, bird skull, feathers, plant fiber, synthetic fiber, metal bell, rhinestone, and steel wire","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/6759-untitled-scatole-personali","Menil","EUA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
340,"Untitled",1952,1952,"Paint, mirrors, glass, opaque printed paper backing for film, and printed paper on wood and metal Coca-Cola bottle crate","NA","N","https://www.rauschenbergfoundation.org/art/artwork/untitled-0","Private collection","NA",1,11,"Robert Rauschenberg","EUA","EUA",,,,
341,"Appian Way",1952,1952,"NA","Assemblage","N","Salvatore Meo-Assemblages-1948-1978","NA","NA",1,79,"Salvatore Meo","EUA","Itália",,,,
342,"Via Dei Torriani #8",1952,1952,"NA","Assemblage","N","Salvatore Meo-Assemblages-1948-1978","NA","NA",1,79,"Salvatore Meo","EUA","Itália",,,,
343,"Poème-objet, pan-(h)oplie pour Elisa (jour et nuit)",1953,1953,"Coléoptères, tissu, plume, coquillage, gouache, papier collé, bois, épingles de métal, verre","Assemblage or collage, organic items, poem-object, Surrealism","N","https://www.andrebreton.fr/en/work/56600100679840?back_url=https%3A%2F%2Fwww.andrebreton.fr%2Fen%2Fview%3Fsubvid%3Dtsearch%26rql%3DAny%2520X%2520ORDERBY%2520FTIRANK%2528X%2529%2520DESC%2520WHERE%2520X%2520has_text%2520%2522%255C%2522Andre%252A%2520Breton%255C%2522%252A%2522%252C%2520X%2520is%2520Work%252C%2520X%2520in_category%2520A%252C%2520A%2520eid%25205805%26fname%3Dview&back_rql=Any%20X%20ORDERBY%20FTIRANK%28X%29%20DESC%20WHERE%20X%20has_text%20%22%5C%22Andre%2A%20Breton%5C%22%2A%22%2C%20X%20is%20Work%2C%20X%20in_category%20A%2C%20A%20eid%205805","NA","NA",1,27,"André Breton","França","França",,,,
344,"Anybody's Self-Portrait",1953,1953,"Framed mirror mounted on painted board, with two oval mirrors, plastic doll's torso, legs and arms, painted doll's eyes with fiber lashes in tin anchovy can, metal hand, nail heads, screw eyes, hooks, string, and cloth","Painting and Sculpture","N","https://www.moma.org/collection/works/81288","MoMA","EUA",1,48,"George Cohen","EUA","EUA",,,,
345,"Untitled (cross)",1953,1953,"Wood, cloth, plaster, synthetic resin, and nails","3-D Object/Sculpture","N","https://www.menil.org/collection/objects/8068-untitled-cross","Menil","EUA",1,104,"Jay DeFeo","EUA","EUA",,,,
346,"La Fourche (The Pitchfork)",1953,1953,"Oil on wood","NA","N","https://successiomiro.com/catalogue/object/726","Ulla and Heiner Pietzsch","Alemanha",1,38,"Joan Miró","Espanha","Espanha",,,,
347,"Langhaus (Vitrine)",1953,1962,"Wood, glass, felt, oil paint and paper","Installation","N","https://www.tate.org.uk/art/artworks/beuys-langhaus-vitrine-ar00087","Tate Museum","Inglaterra",1,85,"Joseph Beuys","Alemanha","Alemanha",,,,
348,"Pavilion, 1953
            

            Joseph Cornell",1953,1953,"Box construction","NA","N","https://www.artic.edu/artworks/99779/pavilion","Art Institute of Chicago","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
349,"Untitled (Palais de Cristal)",1953,1953,"Wood box construction: printed-paper collage, glass, and metal","Sculpture","N","https://crystalbridges.emuseum.com/objects/5342/untitled-palais-de-cristal?ctx=0b3a23517061462418ab8e0ef6c241bfd302e87d&idx=0","Crystal Bridges Museum of American Art","EUA",1,2,"Joseph Cornell","EUA","EUA",,,,
